Name,Roll No,CGPA,DSA Topics Covered,Fundamental Topics Covered,Languages,Internship Experience,Projects Undertaken,Soft Skills,Placement Likelihood
Student1,Roll1,7.49816047538945,"Divide and Conquer, Dynamic Programming, Linked List, Sorting Algorithms, Searching Algorithms, Hashing, Backtracking, String Algorithms, Array, Tree Algorithms, Stacks and Queues, Graph Algorithms, Greedy Algorithms, Recursion, Bit Manipulation","Statistics, Numerical Analysis, Algorithms, Logic, Complexity Analysis, Differential Equations, Linear Algebra, Calculus, Discrete Mathematics","Java, C++",1,0,4,51
Student2,Roll2,9.802857225639665,"Dynamic Programming, Stacks and Queues, Hashing, Graph Algorithms, Greedy Algorithms, Tree Algorithms, Sorting Algorithms, Divide and Conquer, Array, String Algorithms, Bit Manipulation, Recursion, Searching Algorithms, Backtracking, Linked List","Discrete Mathematics, Set Theory, Mathematics, Number Theory, Logic, Probability, Numerical Analysis, Calculus, Data Structures, Algorithms, Differential Equations","Kotlin, Ruby, Go, PHP, C++",1,2,5,66
Student3,Roll3,8.92797576724562,"Array, Bit Manipulation, Tree Algorithms, Recursion, Stacks and Queues","Mathematics, Data Structures, Probability, Calculus, Algorithms, Number Theory, Logic, Graph Theory, Statistics, Complexity Analysis","PHP, C#",1,3,7,85
Student4,Roll4,8.394633936788146,"Stacks and Queues, String Algorithms, Searching Algorithms, Hashing, Divide and Conquer, Dynamic Programming, Linked List","Linear Algebra, Numerical Analysis, Set Theory, Mathematics, Probability, Data Structures","Python, Swift, Kotlin",0,0,0,60
Student5,Roll5,6.624074561769746,"Bit Manipulation, Dynamic Programming, Divide and Conquer, Tree Algorithms, Searching Algorithms, Hashing, Greedy Algorithms, Linked List, Graph Algorithms",Algorithms,"JavaScript, Swift, C#",0,3,2,63
Student6,Roll6,6.623978081344811,"Stacks and Queues, Divide and Conquer","Mathematics, Data Structures, Linear Algebra, Graph Theory, Number Theory, Differential Equations, Logic, Algorithms, Probability, Complexity Analysis","TypeScript, Ruby, C#, JavaScript, Swift",0,1,0,100
Student7,Roll7,6.232334448672798,"String Algorithms, Linked List, Backtracking, Bit Manipulation, Recursion, Hashing, Searching Algorithms","Linear Algebra, Logic, Complexity Analysis, Numerical Analysis, Probability, Mathematics, Set Theory, Number Theory, Graph Theory, Discrete Mathematics, Statistics, Differential Equations, Algorithms, Calculus","Rust, C#, TypeScript, PHP",0,1,4,44
Student8,Roll8,9.46470458309974,"Stacks and Queues, String Algorithms, Hashing, Sorting Algorithms, Backtracking, Graph Algorithms, Linked List, Bit Manipulation, Tree Algorithms, Dynamic Programming, Greedy Algorithms, Recursion, Array, Searching Algorithms","Number Theory, Numerical Analysis, Graph Theory, Discrete Mathematics, Calculus, Probability, Mathematics, Data Structures, Algorithms, Statistics, Differential Equations","Java, Kotlin, C++, Swift, TypeScript",1,0,7,100
Student9,Roll9,8.404460046972835,"Hashing, Array, Bit Manipulation, Backtracking, Tree Algorithms, Divide and Conquer, Graph Algorithms, Stacks and Queues, Dynamic Programming, String Algorithms, Searching Algorithms, Sorting Algorithms, Linked List, Greedy Algorithms, Recursion","Linear Algebra, Mathematics, Numerical Analysis, Graph Theory, Complexity Analysis, Statistics, Set Theory, Probability, Number Theory, Logic","Kotlin, PHP",0,0,3,100
Student10,Roll10,8.832290311184181,"Hashing, Dynamic Programming, String Algorithms","Graph Theory, Mathematics, Number Theory, Discrete Mathematics, Calculus, Probability","Java, PHP, C#, Ruby",0,2,8,43
Student11,Roll11,6.08233797718321,"Tree Algorithms, String Algorithms, Recursion, Bit Manipulation, Linked List, Hashing, Greedy Algorithms","Discrete Mathematics, Complexity Analysis, Probability, Logic, Data Structures, Calculus, Differential Equations, Graph Theory, Numerical Analysis","C#, Python, Swift",0,4,5,21
Student12,Roll12,9.879639408647977,"Recursion, Backtracking, Divide and Conquer","Graph Theory, Differential Equations, Set Theory, Mathematics","Python, PHP",0,4,5,61
Student13,Roll13,9.329770563201688,"Array, Stacks and Queues, Hashing","Linear Algebra, Algorithms, Probability, Numerical Analysis, Complexity Analysis, Data Structures, Number Theory, Mathematics, Calculus, Statistics","Java, Go, PHP, Ruby",1,1,4,100
Student14,Roll14,6.849356442713105,"Graph Algorithms, String Algorithms, Divide and Conquer, Dynamic Programming, Greedy Algorithms, Bit Manipulation, Array, Searching Algorithms","Calculus, Algorithms, Number Theory, Probability, Differential Equations, Set Theory, Data Structures",TypeScript,0,1,9,72
Student15,Roll15,6.7272998688284025,"Tree Algorithms, Linked List, Divide and Conquer","Probability, Mathematics, Number Theory, Set Theory, Graph Theory, Calculus","Java, Rust",1,1,4,16
Student16,Roll16,6.733618039413735,"Sorting Algorithms, Recursion, Array, Greedy Algorithms, Bit Manipulation, Hashing, Graph Algorithms, String Algorithms, Dynamic Programming","Linear Algebra, Discrete Mathematics, Data Structures, Mathematics, Probability, Statistics, Algorithms, Complexity Analysis, Set Theory, Numerical Analysis, Logic","C++, Go, Java, PHP",1,3,6,100
Student17,Roll17,7.216968971838151,"Stacks and Queues, Array, Recursion, Greedy Algorithms, Dynamic Programming, Sorting Algorithms, Bit Manipulation, Hashing, Tree Algorithms, Linked List, Divide and Conquer, String Algorithms, Graph Algorithms","Calculus, Discrete Mathematics, Complexity Analysis, Statistics, Logic, Set Theory, Probability","JavaScript, PHP, Swift, Go",0,4,7,41
Student18,Roll18,8.099025726528952,"Hashing, Graph Algorithms, Backtracking, Tree Algorithms, Dynamic Programming, Stacks and Queues, Recursion, Greedy Algorithms, Divide and Conquer, Searching Algorithms, Array, Linked List, Sorting Algorithms","Calculus, Discrete Mathematics, Mathematics, Graph Theory, Differential Equations, Statistics, Number Theory, Numerical Analysis, Data Structures",Python,1,0,6,40
Student19,Roll19,7.727780074568463,"Array, Divide and Conquer, Bit Manipulation, Greedy Algorithms, Stacks and Queues, Dynamic Programming","Discrete Mathematics, Differential Equations","Kotlin, JavaScript, Java, Python, Rust",0,1,0,100
Student20,Roll20,7.164916560792168,"Searching Algorithms, Greedy Algorithms, Dynamic Programming, Tree Algorithms, String Algorithms, Graph Algorithms, Sorting Algorithms, Linked List, Recursion, Stacks and Queues, Backtracking","Discrete Mathematics, Algorithms","Java, TypeScript",1,2,0,100
Student21,Roll21,8.447411578889518,"Backtracking, Hashing, Sorting Algorithms, Greedy Algorithms, Searching Algorithms, Array, Recursion, Tree Algorithms, String Algorithms, Divide and Conquer, Graph Algorithms, Linked List, Dynamic Programming, Bit Manipulation, Stacks and Queues","Probability, Linear Algebra, Differential Equations, Complexity Analysis, Algorithms, Statistics, Data Structures, Number Theory","Kotlin, PHP, C#",1,0,9,100
Student22,Roll22,6.557975442608168,"Bit Manipulation, Linked List, Stacks and Queues, Backtracking, Hashing, Tree Algorithms, Greedy Algorithms, String Algorithms, Searching Algorithms, Graph Algorithms","Linear Algebra, Algorithms, Complexity Analysis, Graph Theory","Python, Java, PHP",1,0,5,93
Student23,Roll23,7.168578594140873,"Searching Algorithms, Backtracking, Sorting Algorithms, Bit Manipulation, Recursion, String Algorithms, Tree Algorithms, Divide and Conquer, Greedy Algorithms, Array, Graph Algorithms, Stacks and Queues, Linked List, Hashing","Complexity Analysis, Set Theory, Logic, Differential Equations, Calculus, Algorithms, Discrete Mathematics, Probability, Number Theory, Statistics, Numerical Analysis, Graph Theory, Linear Algebra","Swift, PHP, TypeScript, C++",0,0,2,53
Student24,Roll24,7.465447373174767,"String Algorithms, Greedy Algorithms, Searching Algorithms, Dynamic Programming, Stacks and Queues, Bit Manipulation, Recursion, Divide and Conquer, Sorting Algorithms","Set Theory, Graph Theory, Probability, Statistics, Data Structures, Calculus",Kotlin,0,4,8,100
Student25,Roll25,7.824279936868144,"Backtracking, Divide and Conquer, Stacks and Queues, Dynamic Programming, Sorting Algorithms, Hashing, Graph Algorithms, String Algorithms, Recursion, Tree Algorithms, Array, Searching Algorithms","Mathematics, Algorithms, Calculus, Linear Algebra, Logic, Data Structures","TypeScript, Rust, Java, Swift, C#",0,1,6,100
Student26,Roll26,9.140703845572055,"Linked List, Searching Algorithms, Recursion, Sorting Algorithms, Stacks and Queues, Array, String Algorithms, Hashing, Dynamic Programming, Graph Algorithms, Backtracking, Divide and Conquer, Greedy Algorithms","Mathematics, Set Theory, Logic, Algorithms, Linear Algebra, Differential Equations, Statistics, Complexity Analysis, Graph Theory, Discrete Mathematics, Calculus","Rust, Swift, Go",0,2,1,100
Student27,Roll27,6.7986951286334385,"String Algorithms, Backtracking, Stacks and Queues, Dynamic Programming, Array, Linked List, Graph Algorithms, Searching Algorithms, Greedy Algorithms","Set Theory, Data Structures, Linear Algebra, Logic, Number Theory, Complexity Analysis","TypeScript, PHP",1,3,2,45
Student28,Roll28,8.056937753654447,"Divide and Conquer, Tree Algorithms, Greedy Algorithms, Dynamic Programming, String Algorithms, Bit Manipulation, Graph Algorithms, Backtracking, Stacks and Queues, Array, Searching Algorithms, Linked List, Hashing, Recursion","Probability, Data Structures, Set Theory","Go, PHP",0,2,7,100
Student29,Roll29,8.36965827544817,"Bit Manipulation, Graph Algorithms, Tree Algorithms, String Algorithms, Backtracking, Linked List, Sorting Algorithms, Divide and Conquer, Greedy Algorithms, Array, Dynamic Programming, Stacks and Queues","Linear Algebra, Graph Theory, Statistics, Algorithms",PHP,1,2,0,100
Student30,Roll30,6.185801650879991,"Divide and Conquer, Bit Manipulation, Graph Algorithms, Tree Algorithms, Searching Algorithms, Greedy Algorithms, Linked List, Sorting Algorithms, String Algorithms","Data Structures, Complexity Analysis, Probability, Calculus, Statistics, Discrete Mathematics, Logic, Graph Theory, Set Theory, Algorithms, Linear Algebra, Differential Equations, Mathematics, Number Theory","Rust, Python, Java",1,2,4,100
Student31,Roll31,8.430179407605753,"Tree Algorithms, Backtracking, Dynamic Programming, Sorting Algorithms, Divide and Conquer, Recursion, Searching Algorithms, Stacks and Queues, Hashing, Graph Algorithms",Numerical Analysis,Swift,1,3,9,52
Student32,Roll32,6.682096494749166,"Tree Algorithms, Array, Searching Algorithms, Graph Algorithms, Bit Manipulation, Greedy Algorithms, Sorting Algorithms, Hashing, Backtracking, Divide and Conquer, Stacks and Queues, String Algorithms, Linked List, Recursion","Linear Algebra, Differential Equations","C#, Ruby",1,2,0,91
Student33,Roll33,6.260206371941118,"Array, Dynamic Programming, Stacks and Queues, Greedy Algorithms, Recursion, Divide and Conquer, Graph Algorithms, Tree Algorithms, Searching Algorithms","Statistics, Graph Theory, Discrete Mathematics, Complexity Analysis, Number Theory, Differential Equations, Mathematics, Algorithms","Python, Java, PHP, Ruby, Go",1,2,8,83
Student34,Roll34,9.795542149013333,"Linked List, Divide and Conquer, Array, Dynamic Programming, Bit Manipulation, Backtracking, Searching Algorithms, Hashing, Sorting Algorithms, Graph Algorithms, Recursion, Tree Algorithms, String Algorithms","Calculus, Statistics","Rust, TypeScript, Swift, Kotlin",1,1,6,73
Student35,Roll35,9.862528132298237,"Greedy Algorithms, Searching Algorithms, Sorting Algorithms","Data Structures, Linear Algebra, Number Theory, Set Theory, Graph Theory, Statistics, Probability, Logic, Discrete Mathematics, Numerical Analysis, Differential Equations, Algorithms, Mathematics, Calculus",Swift,1,1,4,93
